Added At,Added By,Explicit,Genres,Popularity,Record Label,Release Date,acousticness,album,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,uri,valence
2026-01-02T09:04:35Z,astrid.verschraege,False,"new wave,synthpop",41,UMC (Universal Music Catalogue),2019-10-04,0.205,Souvenir,Orchestral Manoeuvres In The Dark,0.76,236146,0.716,0.133,0,0.182,-5.516,1,Talking Loud And Clear - Remastered 2019,0.0519,123.684,4,spotify:track:4acJcy6qna26VxI4WIlQWW,0.968
2026-01-02T09:04:56Z,astrid.verschraege,False,"trip hop,disco house,funky house,nu disco,uk funky",2,Echo,2006-07-17,0.00691,Catalogue,Moloko;Boris Dlugosch;Michael Lange,0.761,278000,0.775,0.000538,3,0.0512,-7.495,0,Sing It Back - Boris Dlugosch Mix,0.034,123.017,4,spotify:track:53qhh1kdcX4gRBShoW4LK8,0.966
2026-01-02T09:04:56Z,astrid.verschraege,True,"east coast hip hop,jazz rap,hip hop,neo soul,retro pop",67,Geffen,2002,0.039,Phrenology,The Roots;Cody Chesnutt,0.758,267933,0.957,0.0,7,0.133,-2.281,1,The Seed (2.0),0.0357,111.121,4,spotify:track:6HxweNytuEQdmGeVtZPZz3,0.966
2026-01-02T09:04:56Z,astrid.verschraege,False,disco,47,Parlophone UK,2009-03-09,0.458,The TK Years,KC & The Sunshine Band,0.935,139800,0.883,0.208,3,0.0613,-7.876,1,Boogie Shoes,0.0523,113.996,4,spotify:track:5aStVuk8kWHsxYHaNwVX4o,0.965
2026-01-02T09:04:43Z,astrid.verschraege,False,,85,Columbia,2011-05-23,0.145,Torches,Foster The People,0.733,239600,0.71,0.115,5,0.0956,-5.849,0,Pumped Up Kicks,0.0292,127.975,4,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,0.965
2026-01-02T09:04:56Z,astrid.verschraege,False,classic rock,72,Tom Petty P&D,1991-01-01,0.205,Into The Great Wide Open,Tom Petty and the Heartbreakers,0.652,242106,0.766,0.00104,0,0.362,-9.938,1,Learning To Fly,0.0299,116.739,4,spotify:track:17S4XrLvF5jlGvGCJHgF51,0.948
2026-01-02T09:04:43Z,astrid.verschraege,False,"glam rock,synthpop,art pop,art rock,new wave",35,Lil Beethoven Records,1980,0.142,Terminal Jive,Sparks,0.719,348733,0.727,0.0025,0,0.101,-9.828,1,When I'm With You,0.0286,119.495,4,spotify:track:7cdbmTjUrOsJViLFddO0xz,0.931
2026-01-02T09:04:56Z,astrid.verschraege,False,"britpop,jangle pop",75,UMC (Universal Music Catalogue),1990,0.013,The La's,The La's,0.533,162186,0.761,0.829,7,0.207,-10.632,1,There She Goes,0.0298,122.777,4,spotify:track:4c6vZqYHFur11FbWATIJ9P,0.917
2026-01-02T09:04:43Z,astrid.verschraege,False,punk,67,Atlantic Records,2006-06-23,0.00105,Billy Talent II,Billy Talent,0.71,199200,0.811,2.08e-06,3,0.0677,-4.079,1,Fallen Leaves,0.0431,123.048,4,spotify:track:3jUTjCISntIUFL8jnAjzgc,0.914
2026-01-02T09:04:56Z,astrid.verschraege,False,glam rock,0,Chrysalis Records,1999-07-19,0.127,The Very Best of Suzi Quatro,Suzi Quatro;Chris Norman,0.758,239240,0.634,0.000431,7,0.337,-13.338,1,Stumblin' In,0.0324,129.29,4,spotify:track:2NKZe36oAGEpBx26OoBFLj,0.905
2026-01-02T09:04:56Z,astrid.verschraege,False,alternative rock,66,Columbia,2001-07-24,0.003,Comfort Eagle,CAKE,0.771,204128,0.809,0.0223,2,0.0252,-10.029,1,Short Skirt / Long Jacket,0.0461,120.038,4,spotify:track:3OOFEF20WqtsUPcRbPY3L7,0.886
2026-01-02T09:04:43Z,astrid.verschraege,False,"art pop,electropop",51,Parlophone UK,2007-10-01,0.091,Overpowered,Róisín Murphy,0.736,309173,0.827,0.00509,3,0.315,-6.273,0,Overpowered,0.0344,117.024,4,spotify:track:7di4QTqNCZjX4JUFKhWQsr,0.878
