Added At,Added By,Explicit,Genres,Popularity,Record Label,Release Date,acousticness,album,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,uri,valence
2026-01-02T09:02:07Z,astrid.verschraege,False,,58,Reprise,1999-12-07,0.604,Magnolia (Music from the Motion Picture),Aimee Mann,0.616,274493,0.346,0.00232,10,0.0914,-10.438,1,Save Me,0.0304,143.351,4,spotify:track:0EqtsCvcDjEz6svFsaV5HN,0.344
2026-01-02T09:02:07Z,astrid.verschraege,False,"yacht rock,soft rock",71,Warner Records,1972,0.553,Summer Breeze,Seals and Crofts,0.49,205480,0.581,0.0177,5,0.0764,-6.566,1,Summer Breeze,0.0388,88.718,4,spotify:track:3B0ms7Xlxl16tRztKHpcu9,0.318
2026-01-02T09:02:07Z,astrid.verschraege,False,,68,Nettwerk Music Group,2014-10-14,0.283,Indian Ocean,Frazey Ford,0.677,207786,0.526,0.0279,0,0.115,-10.289,1,September Fields,0.0261,114.015,4,spotify:track:7kuOhBGsXjpwvLRQCDAPAJ,0.702
2026-01-02T09:02:07Z,astrid.verschraege,False,,30,Proper Records,2012,0.507,Charmer,Aimee Mann,0.586,230080,0.637,0.00197,10,0.121,-5.271,1,Labrador,0.0232,90.515,4,spotify:track:1rGNuugHXio1FGJBvuJsj5,0.665
2026-01-02T09:02:07Z,astrid.verschraege,False,"indie,indie pop",71,Sub Pop Records,2001-06-19,0.753,"Oh, Inverted World (20th Anniversary Remaster)",The Shins,0.67,230866,0.403,0.0903,0,0.0858,-10.623,1,New Slang - 2021 Remaster,0.031,129.984,4,spotify:track:0NslHuacjxQYfUTOW3HCIV,0.622
2026-01-02T09:02:07Z,astrid.verschraege,False,"baroque pop,psychedelic rock,acid rock",29,UMC (Universal Music Catalogue),1968,0.779,All Of Us,Nirvana,0.383,155360,0.331,0.745,0,0.214,-8.644,1,Rainbow Chaser,0.029,170.611,4,spotify:track:3Q102bijGk2B2DBqUIt4OB,0.531
2026-01-02T09:02:07Z,astrid.verschraege,False,"trip hop,downtempo",59,Parlophone (France),2004-01-26,0.958,Talkie Walkie,Air,0.525,291000,0.366,0.751,0,0.137,-16.488,1,Alone in Kyoto,0.0718,179.956,4,spotify:track:40UlFC0dIxv7lAEJaPZLnm,0.0785
2026-01-02T09:02:07Z,astrid.verschraege,False,folk,0,Transatlantic,1965,0.951,Jackson C. Frank (2001 Remastered Version),Jackson C. Frank,0.374,211986,0.121,0.00349,1,0.102,-13.921,1,Blues Run the Game - 2001 Remaster,0.0309,166.212,4,spotify:track:51QHQSU5C4WE7KqoqeNOCM,0.413
2026-01-02T09:02:07Z,astrid.verschraege,False,,36,Reprise,1999-12-07,0.024,Magnolia (Music from the Motion Picture),Aimee Mann,0.506,336733,0.621,0.0677,2,0.177,-8.302,1,Deathly,0.0317,135.047,4,spotify:track:3BvDDNltw2UFBS0o7nHMRw,0.54
2026-01-02T09:02:07Z,astrid.verschraege,False,,61,Taylor Swift,2022-06-24,0.904,Carolina (From The Motion Picture “Where The Crawdads Sing”),Taylor Swift,0.476,264438,0.189,4.52e-06,11,0.254,-13.777,0,Carolina - From The Motion Picture “Where The Crawdads Sing”,0.0329,115.851,4,spotify:track:4axSuOg3BqsowKjRpj59RU,0.324
