Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7z8k59NKAcnwK6OOHt3i3k,"How Beautiful This Life Is","How Beautiful This Life Is","Berre",2025-09-29,194946,55,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.544,0.581,0,-8.147,1,0.04,0.152,0,0.126,0.481,104.272,4
spotify:track:4bx1kaKVgDK6aONBlWawmr,"WIE?","WIE?","Aaron Blommaert",2025-09-25,166840,52,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.659,0.664,5,-7.923,0,0.0423,0.0121,0,0.138,0.835,107.963,4
spotify:track:6eDKyG6jvCXaTyTdFOh9wA,"QUE CE SOIT CLAIR","QUE CE SOIT CLAIR","Paul Kalkbrenner;Stromae",2025-08-29,176010,72,false,,2025-12-18T11:24:13Z,"minimal techno,techno,electro,french pop","Columbia/B1 Recordings",0.741,0.829,5,-8.554,0,0.0531,0.0441,0.0697,0.253,0.824,130.018,4
spotify:track:6w8AaUrGXjyP59VXdvGmui,"Teen Rebel","Dawn of the Freak","The Haunted Youth",2022-11-04,257413,52,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.563,0.691,2,-7.932,1,0.0326,0.0196,0.876,0.0633,0.135,130.02,4
spotify:track:61Xa5pBWdJm5b98IQG6kFp,"Comic Trip","Comic Trip","Sylvie Kreusch",2024-11-08,212968,34,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.489,0.894,9,-5.925,1,0.044,0.459,0.0128,0.194,0.725,160.142,4
spotify:track:6556dVFzfiI5MK1lb2PH5t,"Strawberry","Strawberry","Equal Idiots",2024-08-29,253946,24,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.527,0.594,6,-7.291,0,0.0333,0.243,0.00122,0.196,0.297,100.023,4
spotify:track:10pLmMEidgvRhd6MEqxb2r,"Wrong - Re-imagined","Wrong (Re-imagined)","Novastar",2023-10-05,210931,26,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.31,0.838,2,-6.119,1,0.0366,0.0255,0.357,0.0985,0.222,89.55,4
spotify:track:3PYwKA8TrIprTQduaG0x1G,"All Gold","Somehow","SONS",2025-09-22,187200,16,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.255,0.953,2,-2.854,1,0.0565,0.0000137,0.000232,0.284,0.485,88.311,4
spotify:track:2Z8fMSm0LojIUwDeQqykKR,"In My Head","In My Head","The Haunted Youth",2024-11-20,350160,45,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.409,0.701,9,-8.376,1,0.0388,0.163,0.0304,0.0975,0.0394,170.011,4
spotify:track:60A89nvhQlFnmfoQ692FLY,"Some Girls","Some Girls","Alice Mae",2025-05-23,157910,29,false,,2025-12-18T11:24:13Z,"","alice mae",0.5,0.809,9,-7.227,1,0.0345,0.000722,0,0.265,0.661,161.972,4
spotify:track:3CwHonJzs4dZuASYwTjEYf,"No Surprise","No Surprise","Warhaus",2024-10-03,224114,51,false,,2025-12-18T11:24:13Z,"","Play It Again Sam",0.806,0.461,6,-8.564,0,0.0355,0.191,0.703,0.24,0.548,124.996,4
