Track URI,name,Album Name,artists,Release Date,duration_ms,Popularity,Explicit,Added By,Added At,Genres,Record Label,danceability,energy,Key,loudness,Mode,Speechiness,acousticness,Instrumentalness,Liveness,valence,tempo,Time Signature
spotify:track:0EqtsCvcDjEz6svFsaV5HN,Save Me,Magnolia (Music from the Motion Picture),Aimee Mann,1999-12-07,274493,58,False,astrid.verschraege,2026-01-02T09:02:07Z,,Reprise,0.616,0.346,10,-10.438,1,0.0304,0.604,0.00232,0.0914,0.344,143.351,4
spotify:track:3B0ms7Xlxl16tRztKHpcu9,Summer Breeze,Summer Breeze,Seals and Crofts,1972,205480,71,False,astrid.verschraege,2026-01-02T09:02:07Z,"yacht rock,soft rock",Warner Records,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,4
spotify:track:7kuOhBGsXjpwvLRQCDAPAJ,September Fields,Indian Ocean,Frazey Ford,2014-10-14,207786,68,False,astrid.verschraege,2026-01-02T09:02:07Z,,Nettwerk Music Group,0.677,0.526,0,-10.289,1,0.0261,0.283,0.0279,0.115,0.702,114.015,4
spotify:track:1rGNuugHXio1FGJBvuJsj5,Labrador,Charmer,Aimee Mann,2012,230080,30,False,astrid.verschraege,2026-01-02T09:02:07Z,,Proper Records,0.586,0.637,10,-5.271,1,0.0232,0.507,0.00197,0.121,0.665,90.515,4
spotify:track:0NslHuacjxQYfUTOW3HCIV,New Slang - 2021 Remaster,"Oh, Inverted World (20th Anniversary Remaster)",The Shins,2001-06-19,230866,71,False,astrid.verschraege,2026-01-02T09:02:07Z,"indie,indie pop",Sub Pop Records,0.67,0.403,0,-10.623,1,0.031,0.753,0.0903,0.0858,0.622,129.984,4
spotify:track:3Q102bijGk2B2DBqUIt4OB,Rainbow Chaser,All Of Us,Nirvana,1968,155360,29,False,astrid.verschraege,2026-01-02T09:02:07Z,"baroque pop,psychedelic rock,acid rock",UMC (Universal Music Catalogue),0.383,0.331,0,-8.644,1,0.029,0.779,0.745,0.214,0.531,170.611,4
spotify:track:40UlFC0dIxv7lAEJaPZLnm,Alone in Kyoto,Talkie Walkie,Air,2004-01-26,291000,59,False,astrid.verschraege,2026-01-02T09:02:07Z,"trip hop,downtempo",Parlophone (France),0.525,0.366,0,-16.488,1,0.0718,0.958,0.751,0.137,0.0785,179.956,4
spotify:track:51QHQSU5C4WE7KqoqeNOCM,Blues Run the Game - 2001 Remaster,Jackson C. Frank (2001 Remastered Version),Jackson C. Frank,1965,211986,0,False,astrid.verschraege,2026-01-02T09:02:07Z,folk,Transatlantic,0.374,0.121,1,-13.921,1,0.0309,0.951,0.00349,0.102,0.413,166.212,4
spotify:track:3BvDDNltw2UFBS0o7nHMRw,Deathly,Magnolia (Music from the Motion Picture),Aimee Mann,1999-12-07,336733,36,False,astrid.verschraege,2026-01-02T09:02:07Z,,Reprise,0.506,0.621,2,-8.302,1,0.0317,0.024,0.0677,0.177,0.54,135.047,4
spotify:track:4axSuOg3BqsowKjRpj59RU,Carolina - From The Motion Picture “Where The Crawdads Sing”,Carolina (From The Motion Picture “Where The Crawdads Sing”),Taylor Swift,2022-06-24,264438,61,False,astrid.verschraege,2026-01-02T09:02:07Z,,Taylor Swift,0.476,0.189,11,-13.777,0,0.0329,0.904,4.52e-06,0.254,0.324,115.851,4
spotify:track:7sQ9eys8uVNrCsPyzYlDgG,He's Misstra Know-It-All,Innervisions,Stevie Wonder,1973-08-03,335226,47,False,astrid.verschraege,2026-01-02T09:02:07Z,"motown,classic soul,soul",Motown,0.57,0.764,6,-10.041,1,0.0537,0.189,0.0,0.0694,0.722,80.548,4
spotify:track:0Mdx8ec3nOMZsWIDEuFJXK,Louise,Hysteria,The Human League,1984-01-01,300360,37,False,astrid.verschraege,2026-01-02T09:02:07Z,"new wave,synthpop",Virgin Records,0.803,0.224,2,-20.183,1,0.0312,0.292,9.65e-05,0.0823,0.901,98.318,4
spotify:track:7B0ofCHeQu2FoX7P28ZaPp,My Friend the Forest,All Melody,Nils Frahm,2018-01-26,316167,54,False,astrid.verschraege,2026-01-02T09:02:07Z,"neoclassical,contemporary classical,minimalism,ambient",Erased Tapes,0.253,0.0118,8,-33.838,1,0.042,0.952,0.614,0.245,0.149,82.843,3
spotify:track:74gXTPHvFr8XkuS8zWS14W,Tides,Tides,Bliss Looper,2020-09-15,123884,23,False,astrid.verschraege,2026-01-02T09:02:07Z,,High Vibe Records,0.519,0.277,7,-22.315,1,0.041,0.911,0.884,0.11,0.145,161.989,5
spotify:track:3RMuJ4qdkgs71mBNbPpZu0,Swimmers,Swimmers,Zero 7;Jem Cooke,2019-10-25,237597,55,False,astrid.verschraege,2026-01-02T09:02:07Z,"trip hop,downtempo",Make Records / Platoon,0.651,0.492,6,-11.808,1,0.0301,0.0805,0.0206,0.0912,0.79,152.034,4
spotify:track:0Wbwtdm59r22Zj0hDI9VYk,Danza del altiplano,¡danza! The Music of Dance,Tom Kerstens,2005,190506,22,False,astrid.verschraege,2026-01-02T09:02:07Z,,BGS Records,0.288,0.108,9,-24.582,0,0.0559,0.98,0.894,0.0806,0.105,77.075,4
spotify:track:1lb3H41lbvAN28N7yqRNL9,Idea 10,Idea 10,Gibran Alcocer,2022-07-09,128000,76,False,astrid.verschraege,2026-01-02T09:02:07Z,,Gibran Alcocer / Kurate Music,0.339,0.242,7,-20.446,0,0.0383,0.978,0.871,0.104,0.711,87.053,3
spotify:track:5FWn20xrAQ1IdbA8Dml6pj,Si tu vois ma mère - Slow,Les Années Bechet,Sidney Bechet;Claude Luter et son orchestre,1997-05-06,193573,55,False,astrid.verschraege,2026-01-02T09:02:07Z,"jazz,swing music,ragtime,french jazz",Vogue,0.46,0.379,3,-12.862,1,0.0402,0.811,0.866,0.552,0.61,79.53,4
spotify:track:7xzMrUmlooPa1Fmp88hlYc,Sodade,Miss Perfumado,Cesária Evora,1992-10-21,293640,50,False,astrid.verschraege,2026-01-02T09:02:07Z,fado,Lusafrica,0.575,0.43,8,-13.168,1,0.0363,0.822,0.000661,0.115,0.427,82.691,4
spotify:track:1XPtINrBKd50UVEgZb7iKU,Trusting the Process (1111 Hz),Healing Frequencies,Malte Marten,2024-11-08,132370,51,False,astrid.verschraege,2026-01-02T09:02:07Z,,Malte Marten,0.354,0.0694,6,-23.2,0,0.0403,0.922,0.905,0.0954,0.342,117.742,4
spotify:track:1fKkXZwmfIKziXFW4hhZ5c,Ballade Arabo-Andalouse,Teatro Lúcido,La Femme,2022-11-04,340933,28,False,astrid.verschraege,2026-01-02T09:02:07Z,"french indie pop,french pop,french house",Disque Pointu,0.517,0.402,2,-12.003,0,0.0261,0.55,0.952,0.0933,0.131,100.015,4
spotify:track:56oReVXIfUO9xkX7pHmEU0,On the Nature of Daylight,The Blue Notebooks (15 Years),Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Philip Sheppard;Chris Worsey,2018-05-11,371746,70,False,astrid.verschraege,2026-01-02T09:02:07Z,"neoclassical,contemporary classical,minimalism,classical,ambient",Deutsche Grammophon (DG),0.0652,0.342,10,-12.742,0,0.0483,0.154,0.857,0.11,0.0335,65.602,4
spotify:track:7d26IhLPUlL4oncFgsms22,Blink,Music for Nine Post Cards,Hiroshi Yoshimura,2017-11-03,282013,0,False,astrid.verschraege,2026-01-02T09:02:07Z,"ambient,minimalism,drone",Empire of Signs,0.361,0.055,0,-19.128,1,0.0579,0.977,0.92,0.0753,0.336,68.554,5
spotify:track:3XFcUSSbb3ezNem7EnPq2G,Howling Around My Happy Home,Buck,Daniel Norgren,2013-03-01,614826,48,False,astrid.verschraege,2026-01-02T09:02:07Z,,Superpuma Records,0.674,0.276,7,-12.766,0,0.0296,0.107,0.881,0.112,0.76,177.248,4
spotify:track:6poINqN7weIL6WKXSQJ3MM,Floor Essence,Floor Essence,Man With No Name;Fish56Octagon;David Forbes,2025-03-28,147000,26,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,acid techno,progressive trance",Perfecto Fluoro,0.527,0.99,10,-5.213,0,0.0341,0.000254,0.951,0.633,0.15,140.005,4
spotify:track:2ark0tgN8LYvDV6fo3N61s,Wants And Dreams,M.U.S.I.C. - Melodies Uniting Souls In Connection,Mini Spacer,2024-01-26,479301,1,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Suntrip Records,0.573,0.878,0,-8.855,0,0.0439,0.00224,0.891,0.403,0.36,145.004,4
spotify:track:0vXviHxfxYEctg2r5myWiQ,Plasma Light (Imaginarium Remix),Trancefusion Chapter 2 (Compiled by Boom Shankar),Etnica;Pleiadians;Imaginarium,2017-02-13,417605,15,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,progressive trance",BMSS Records,0.619,0.958,0,-6.207,1,0.0521,0.000205,0.82,0.0619,0.608,141.974,4
spotify:track:6y4QJrnZReIGvLrfvPwvsv,Azymuth,Moment of Truth,Man With No Name,1996-02-05,478600,17,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,acid techno",XL Recordings,0.608,0.945,7,-10.84,1,0.051,0.00185,0.878,0.12,0.469,196.035,4
spotify:track:6sQczqprOz0Jhq8ilWtDDf,Sugar Rush - Refined Mix,Moment of Truth,Man With No Name,1996-02-05,371693,24,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,acid techno",XL Recordings,0.581,0.974,9,-11.581,0,0.0505,2.68e-05,0.845,0.0646,0.181,140.032,4
