Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ObOQwjP7hycMhlYbSJuvk,"GETCHA! (with Nic Cester, Jet & Chad Smith) - prod. Tom Morello","MASQUERADE","Thomas Raggi;Nic Cester;Jet;Chad Smith",2025-12-05,182132,52,false,,2025-12-19T13:13:54Z,"rap metal,rap rock","Epic",0.38,0.916,2,-1.974,0,0.0937,0.00173,0.000465,0.0659,0.521,176.239,4
spotify:track:7niEycC20mzMNSA0qq4VTf,"Fuck Everything Up","Fuck Everything Up","GUNMOLL",2025-11-28,235934,28,false,,2025-12-19T13:13:54Z,"","V2 Records Benelux",0.684,0.844,4,-5.226,1,0.0312,0.00811,0.0000227,0.354,0.564,113.998,4
spotify:track:5Pvs9apPxuhYXXCVzuyQgj,"Imaginary world","Imaginary world","RAMAN.",2025-12-19,173866,31,false,,2025-12-19T13:13:54Z,"","RAMAN. records / Thorn in my side recordings",0.429,0.426,4,-9.336,1,0.0326,0.703,0.0014,0.167,0.41,111.985,4
spotify:track:1ChB4a5EAEBYR976Rvpdan,"Storm Warnings","Storm Warnings","Florence Road",2025-11-14,225635,56,false,,2025-12-19T13:13:54Z,"","Warner Music UK",0.166,0.879,9,-3.698,0,0.0499,0.000238,0.453,0.415,0.216,173.985,3
spotify:track:5n2yojSdwu1ClUByBFp24R,"Love You Like a Rainbow","Oh! The Ocean (Extended Version)","The Wombats",2025-12-05,181811,51,false,,2025-12-19T13:13:54Z,"indie","The Wombats",0.45,0.821,7,-6.557,1,0.0645,0.083,0.0000252,0.276,0.434,135.919,4
spotify:track:38KogCv80PHOcyPOM5Xn5y,"Don't You Hate Yourself?","Don't You Hate Yourself?","Waiting Room",2025-12-19,298160,48,false,,2025-12-19T13:13:54Z,"","Waiting Room",0.314,0.543,2,-6.724,1,0.0418,0.0476,0.154,0.0994,0.164,170.607,3
spotify:track:6DcZj3VARz2ANeqy7gncJb,"I Paint Walls","I Paint Walls","L.A. Sagne",2025-11-28,156560,30,false,,2025-12-19T13:13:54Z,"egg punk,riot grrrl","Geertruida",0.515,0.756,7,-8.076,1,0.0387,0.000697,0.00000115,0.231,0.664,156.9,4
spotify:track:6asKWJ9heYSpUUlN77lgnc,"Call You Home","First Rodeo","Kensington",2025-11-28,223985,56,false,,2025-12-19T13:13:54Z,"nederpop","Universal Music, a division of Universal International Music BV",0.255,0.792,8,-6.097,1,0.0535,0.0354,0.0000054,0.0617,0.323,182.792,3
spotify:track:6kffh7yHiAwOlnmw4Bf9io,"The Treadmill","People Watching (Deluxe Edition)","Sam Fender",2025-12-05,202973,69,true,,2025-12-19T13:13:54Z,"","Polydor Records",0.522,0.838,4,-7.313,1,0.0615,0.00167,0.00000548,0.191,0.595,160.011,4
spotify:track:6iYEtpQ84Vs2K5CReYfr6Y,"No Control","No Control","Sweet Pill",2025-12-08,181098,52,false,,2025-12-19T13:13:54Z,"midwest emo,math rock","Hopeless Records",0.551,0.857,0,-5.61,1,0.109,0.000107,0.026,0.12,0.278,144.968,4
