Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Ca3uEAuun3HusTUiIXKs1,"If You Wanna","What Did You Expect from The Vaccines?","The Vaccines",2011-03-14,174013,59,false,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.353,0.866,2,-3.274,1,0.0392,0.0000303,0.00003,0.295,0.544,165.215,4
spotify:track:6E3NosMXYlGD21K7KqIxQ1,"I Always Knew","Come Of Age","The Vaccines",2012-09-03,214346,54,false,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.393,150.097,4
spotify:track:1GKsOmCVxqmNavF3nAIrwE,"Love To Walk Away","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,127474,44,false,,1970-01-01T00:00:00Z,"indie,indie rock","Super Easy",0.402,0.859,9,-3.616,0,0.0411,0.0138,0,0.103,0.493,79.944,4
spotify:track:69Wh0ipeW1z2x78lOpsKuL,"Want You So Bad","English Graffiti (Expanded Edition)","The Vaccines",2015-05-26,258720,50,false,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.482,0.841,3,-4.165,0,0.0982,0.0129,0.233,0.102,0.567,176.069,4
spotify:track:47oXAoC5TynVLCZ3FKb0gC,"Post Break-Up Sex","What Did You Expect from The Vaccines?","The Vaccines",2011-03-14,174453,54,true,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.401,0.902,5,-4.115,1,0.0469,0.0000732,0.00465,0.261,0.57,136.873,4
spotify:track:0JAQUGJudVlhRoAqqhVoYX,"All My Friends Are Falling In Love","All My Friends Are Falling In Love","The Vaccines",2018-11-13,210161,46,true,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.514,0.877,6,-4.828,1,0.0427,0.00614,0,0.658,0.805,146.983,4
spotify:track:2DJejaWAKa3BTTdwvzKVJO,"Sometimes, I Swear","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,218027,41,false,,1970-01-01T00:00:00Z,"indie,indie rock","Super Easy",0.224,0.84,0,-4.85,1,0.0389,0.106,0.0000204,0.0969,0.18,139.271,4
spotify:track:4f3phKXMCHPgLkGVVwMe5V,"Teenage Icon","Come Of Age","The Vaccines",2012-09-03,184240,43,false,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.425,0.933,7,-3.111,1,0.0531,0.00017,0.00306,0.159,0.656,104.144,4
spotify:track:07e14r44g2EeOg9PIFsimm,"Norgaard","What Did You Expect from The Vaccines?","The Vaccines",2011-03-14,98400,51,false,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.322,0.847,11,-4.716,1,0.0349,0.00000492,0.0246,0.25,0.86,173.917,4
spotify:track:4DBeUcBD2zVZzhf2oX1PLc,"I Can't Quit","Combat Sports","The Vaccines",2018-03-30,162746,42,true,,1970-01-01T00:00:00Z,"indie,indie rock","Columbia",0.497,0.787,0,-4.396,1,0.0319,0.0000171,0.383,0.421,0.499,128.029,4
spotify:track:7ysZK0xlf1jIWMkiVJoGLB,"Lunar Eclipse","Pick-Up Full Of Pink Carnations","The Vaccines",2024-01-12,176578,39,false,,1970-01-01T00:00:00Z,"indie,indie rock","Super Easy",0.39,0.904,7,-4.072,1,0.0639,0.0419,0,0.0924,0.73,172.052,4
spotify:track:6sgXptHieScopukU2AeqZl,"Headphones Baby","Back In Love City","The Vaccines",2021-09-10,198466,39,false,,1970-01-01T00:00:00Z,"indie,indie rock","Super Easy",0.522,0.88,10,-3.873,1,0.0959,0.00186,0,0.16,0.659,129.971,4
